animal,Species,Location,Vision,Overlap
Alouatta_seniculus,Alouatta_seniculus,Belly,Di,yes
Alouatta_seniculus,Alouatta_seniculus,Cap,Tetra,no
Alouatta_seniculus,Alouatta_seniculus,Cap,Tri,no
Alouatta_seniculus,Alouatta_seniculus,Cap,Di,yes
Alouatta_seniculus,Alouatta_seniculus,Tail,Tetra,yes
Alouatta_seniculus,Alouatta_seniculus,Tail,Tri,yes
Alouatta_seniculus,Alouatta_seniculus,Tail,Di,yes
Ateles_belzebuth,Ateles_belzebuth,Back,Tetra,yes
Ateles_belzebuth,Ateles_belzebuth,Back,Tri,yes
Ateles_belzebuth,Ateles_belzebuth,Back,Di,yes
Ateles_belzebuth,Ateles_belzebuth,Belly,Tetra,yes
Ateles_belzebuth,Ateles_belzebuth,Belly,Tri,yes
Ateles_belzebuth,Ateles_belzebuth,Belly,Di,yes
Ateles_belzebuth,Ateles_belzebuth,Cap,Tetra,yes
Ateles_belzebuth,Ateles_belzebuth,Cap,Tri,yes
Ateles_belzebuth,Ateles_belzebuth,Cap,Di,yes
Ateles_belzebuth,Ateles_belzebuth,Tail,Tetra,yes
Ateles_belzebuth,Ateles_belzebuth,Tail,Tri,yes
Ateles_belzebuth,Ateles_belzebuth,Tail,Di,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Back,Tetra,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Back,Tri,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Back,Di,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Belly,Tetra,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Belly,Tri,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Belly,Di,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Cap,Tetra,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Cap,Tri,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Cap,Di,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Tail,Tetra,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Tail,Tri,yes
Lagothrix_lagotricha,Lagothrix_lagotricha,Tail,Di,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Back,Tetra,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Back,Tri,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Back,Di,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Belly,Tetra,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Belly,Tri,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Belly,Di,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Cap,Tetra,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Cap,Tri,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Cap,Di,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Tail,Tetra,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Tail,Tri,yes
Cercopithecus_ascanius,Cercopithecus_ascanius,Tail,Di,yes
Cercopithecus_mitis,Cercopithecus_mitis,Back,Tetra,yes
Cercopithecus_mitis,Cercopithecus_mitis,Back,Tri,yes
Cercopithecus_mitis,Cercopithecus_mitis,Back,Di,yes
Cercopithecus_mitis,Cercopithecus_mitis,Belly,Tetra,yes
Cercopithecus_mitis,Cercopithecus_mitis,Belly,Tri,yes
Cercopithecus_mitis,Cercopithecus_mitis,Belly,Di,yes
Cercopithecus_mitis,Cercopithecus_mitis,Cap,Tetra,yes
Cercopithecus_mitis,Cercopithecus_mitis,Cap,Tri,yes
Cercopithecus_mitis,Cercopithecus_mitis,Cap,Di,yes
Cercopithecus_mitis,Cercopithecus_mitis,Tail,Tetra,yes
Cercopithecus_mitis,Cercopithecus_mitis,Tail,Tri,yes
Cercopithecus_mitis,Cercopithecus_mitis,Tail,Di,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Back,Tetra,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Back,Tri,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Back,Di,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Belly,Tetra,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Belly,Tri,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Belly,Di,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Cap,Tetra,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Cap,Tri,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Cap,Di,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Tail,Tetra,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Tail,Tri,yes
Cercopithecus_wolfi,Cercopithecus_wolfi,Tail,Di,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Back,Tetra,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Back,Tri,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Back,Di,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Belly,Tetra,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Belly,Tri,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Belly,Di,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Cap,Tetra,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Cap,Tri,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Cap,Di,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Tail,Tetra,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Tail,Tri,yes
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Tail,Di,yes
Colobus_guereza,Colobus_guereza,Back,Tetra,yes
Colobus_guereza,Colobus_guereza,Back,Tri,yes
